Dive_Id,Date,Time_AKDT,TC (UTC),UTC time,,Start_End,Comments,YE cnt,Jenny comments
,,17:26:36,01:26:36:17,01:26:36,,,nice sponge image (bel),,
,,17:32:13,01:32:13:02,01:32:13,,E,,,
,,,,,,,,,
eykt_33,5/16/2017,18:38:17,02:38:17:24,02:38:17,,S,,,
,,18:41:12,02:41:12:12,02:41:12,,,halibut,,
,,18:44:04,02:44:04:12,02:44:04,,,nice image of fish in sponge (bel) ,,
,,18:48:59,02:48:59:19,02:48:59,,,ye (gravid),1,
,,18:53:25,02:53:25:20,02:53:25,,,Halibut close up.   ,,
,,19:01:50,03:01:50:27,03:01:50,,,fish in sponge (bel),,
,,19:02:55,03:02:55:08,03:02:55,,,fish in sponge ,,
,,19:09:43,03:09:43:14,03:09:43,,,nice sponge image  (bel),,
,,19:13:06,03:13:06:11,03:13:06,,,halibut,,
,,19:14:40,03:14:40:14,03:14:40,,,fish on sponge,,
,,19:16:00,03:16:00:27,03:16:00,,E,,,
,,,,,,,,,
eykt_34,5/16/2017,20:07:30,04:07:30:07,04:07:30,,S,,,
,,20:11:52,04:11:52:18,04:11:52,,,jye,,
,,20:14:56,04:14:56:13,04:14:56,,,ye,1,
,,20:15:20,04:15:20:21,04:15:20,,,ye from behind (repeat?),,
,,20:15:24,04:15:24:21,04:15:24,,,tiger,,
,,20:21:18,04:21:18:18,04:21:18,,,lc,,
,,20:28:52,04:28:52:05,04:28:52,,,"ye , nice feeding image",1,
,,20:31:23,04:31:23:15,04:31:23,,,ye,1,
,,20:37:51,04:37:51:11,04:37:51,,,sponge close up,,
,,20:38:45,04:38:45:21,04:38:45,,,sharpchin? in sponge,,
,,20:44:50,04:44:50:04,04:44:50,,E,,,
,,,,,,,,,
eykt_35,5/17/2017,6:59:52,14:59:52:11,14:59:52,,S,,,
,,7:07:59,15:07:59:10,15:07:59,,,groundline,,
,,7:12:45,15:12:45:25,15:12:45,,,groundline,,
,,7:19:11,15:19:11:08,15:19:11,,,ye,1,
,,7:20:36,15:20:36:04,15:20:36,,,ye,1,
,,7:31:26,15:31:26:21,15:31:26,,,ye,1,
,,7:38:38,15:38:38:29,15:38:38,,,ye,1,
,,7:41:27,15:41:27:28,15:41:27,,E,,,
,,,,,,,,,
eykt_36,5/17/2017,8:24:02,16:24:02:00,16:24:02,,S,,,
,,8:46:21,16:46:21:21,16:46:21,,,lc,,
,,8:46:31,16:46:31:29,16:46:31,,,lc,,
,,8:47:17,16:47:17:27,16:47:17,,,"ye?, up close (SR)",,
,,8:48:10,16:48:10:20,16:48:10,,,lc,,
,,8:53:26,16:53:26:27,16:53:26,,,lc,,
,,8:54:57,16:54:57:06,16:54:57,,,lc 3,,
,,8:55:35,16:55:35:25,16:55:35,,,"ye, ye gravid",2,
,,8:58:31,16:58:31:24,16:58:31,,,lc chasing jye,1,
,,9:01:42,17:01:42:16,17:01:42,,,ye (bel),1,not in stereo
,,9:02:15,17:02:15:22,17:02:15,,,jye(bel),,
,,9:02:27,17:02:27:12,17:02:27,,,lc,,
,,9:03:46,17:03:46:23,17:03:46,,,"4 ye, 2lc ",4,
,,9:04:27,17:04:27:08,17:04:27,,,ye,1,
,,9:11:14,17:11:14:11,17:11:14,,E,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
